#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+0.050         +0.051          eV/angstrom    0.154    0.0104    0.000     15    2     forces('Ar32_frame003')
-0.008         -0.008          eV/angstrom    0.154    0.0104    0.000     16    0     forces('Ar32_frame003')
-0.067         -0.066          eV/angstrom    0.154    0.0104    0.000     16    1     forces('Ar32_frame003')
+0.004         +0.002          eV/angstrom    0.154    0.0104    0.000     16    2     forces('Ar32_frame003')
+0.015         +0.019          eV/angstrom    0.154    0.0104    0.000     17    0     forces('Ar32_frame003')
-0.015         -0.015          eV/angstrom    0.154    0.0104    0.000     17    1     forces('Ar32_frame003')
+0.033         +0.036          eV/angstrom    0.154    0.0104    0.000     17    2     forces('Ar32_frame003')
+0.039         +0.035          eV/angstrom    0.154    0.0104    0.000     18    0     forces('Ar32_frame003')
-0.092         -0.089          eV/angstrom    0.154    0.0104    0.000     18    1     forces('Ar32_frame003')
+0.017         +0.017          eV/angstrom    0.154    0.0104    0.000     18    2     forces('Ar32_frame003')
+0.194         +0.190          eV/angstrom    0.154    0.0104    0.000     19    0     forces('Ar32_frame003')
-0.356         -0.356          eV/angstrom    0.154    0.0104    0.000     19    1     forces('Ar32_frame003')
+0.057         +0.049          eV/angstrom    0.154    0.0104    0.000     19    2     forces('Ar32_frame003')
+0.067         +0.061          eV/angstrom    0.154    0.0104    0.000     20    0     forces('Ar32_frame003')
-0.032         -0.029          eV/angstrom    0.154    0.0104    0.000     20    1     forces('Ar32_frame003')
-0.192         -0.189          eV/angstrom    0.154    0.0104    0.000     20    2     forces('Ar32_frame003')
-0.308         -0.302          eV/angstrom    0.154    0.0104    0.000     21    0     forces('Ar32_frame003')
+0.387         +0.383          eV/angstrom    0.154    0.0104    0.000     21    1     forces('Ar32_frame003')
+0.012         +0.015          eV/angstrom    0.154    0.0104    0.000     21    2     forces('Ar32_frame003')
-0.019         -0.016          eV/angstrom    0.154    0.0104    0.000     22    0     forces('Ar32_frame003')
-0.039         -0.039          eV/angstrom    0.154    0.0104    0.000     22    1     forces('Ar32_frame003')
+0.021         +0.019          eV/angstrom    0.154    0.0104    0.000     22    2     forces('Ar32_frame003')
+0.073         +0.070          eV/angstrom    0.154    0.0104    0.000     23    0     forces('Ar32_frame003')
+0.008         +0.007          eV/angstrom    0.154    0.0104    0.000     23    1     forces('Ar32_frame003')
-0.041         -0.039          eV/angstrom    0.154    0.0104    0.000     23    2     forces('Ar32_frame003')
-0.057         -0.060          eV/angstrom    0.154    0.0104    0.000     24    0     forces('Ar32_frame003')
-0.001         -0.003          eV/angstrom    0.154    0.0104    0.000     24    1     forces('Ar32_frame003')
-0.032         -0.033          eV/angstrom    0.154    0.0104    0.000     24    2     forces('Ar32_frame003')
+0.094         +0.089          eV/angstrom    0.154    0.0104    0.000     25    0     forces('Ar32_frame003')
+0.018         +0.015          eV/angstrom    0.154    0.0104    0.000     25    1     forces('Ar32_frame003')
+0.059         +0.057          eV/angstrom    0.154    0.0104    0.000     25    2     forces('Ar32_frame003')
-0.009         -0.010          eV/angstrom    0.154    0.0104    0.000     26    0     forces('Ar32_frame003')
+0.091         +0.090          eV/angstrom    0.154    0.0104    0.000     26    1     forces('Ar32_frame003')
-0.021         -0.021          eV/angstrom    0.154    0.0104    0.000     26    2     forces('Ar32_frame003')
+0.066         +0.068          eV/angstrom    0.154    0.0104    0.000     27    0     forces('Ar32_frame003')
+0.151         +0.147          eV/angstrom    0.154    0.0104    0.000     27    1     forces('Ar32_frame003')
+0.085         +0.079          eV/angstrom    0.154    0.0104    0.000     27    2     forces('Ar32_frame003')
-0.085         -0.084          eV/angstrom    0.154    0.0104    0.000     28    0     forces('Ar32_frame003')
-0.042         -0.044          eV/angstrom    0.154    0.0104    0.000     28    1     forces('Ar32_frame003')
+0.023         +0.023          eV/angstrom    0.154    0.0104    0.000     28    2     forces('Ar32_frame003')
+0.049         +0.048          eV/angstrom    0.154    0.0104    0.000     29    0     forces('Ar32_frame003')
-0.259         -0.253          eV/angstrom    0.154    0.0104    0.000     29    1     forces('Ar32_frame003')
