s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_LJ AIR
 2.2488962E-001, 0.0000000E+000, 0.0000000E+000,-3.4106051E-016, 9.0918427E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1348576E-015, 5.6812376E-016, 5.2744829E-003
 2.2627339E-001, 0.0000000E+000, 0.0000000E+000,-3.6948222E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 5.5135826E-016, 5.3060658E-003
 2.2765715E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 5.8333268E-016, 5.3376294E-003
 2.2890173E-001, 0.0000000E+000, 0.0000000E+000,-3.6948222E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5135826E-016, 5.3691736E-003
 2.3014630E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8333268E-016, 5.3975282E-003
 2.3139088E-001, 0.0000000E+000, 0.0000000E+000,-3.4461323E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8545512E-015, 5.7331320E-016, 5.4258670E-003
 2.3263547E-001, 0.0000000E+000, 0.0000000E+000,-3.6237680E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5554963E-016, 5.4541898E-003
 2.3388004E-001, 0.0000000E+000, 0.0000000E+000,-3.5171865E-016, 9.1501238E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6329372E-016, 5.4824966E-003
 2.3512462E-001, 0.0000000E+000, 0.0000000E+000,-3.4816594E-016, 9.1501238E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7091025E-015, 5.6684643E-016, 5.5107872E-003
 2.3636919E-001, 0.0000000E+000, 0.0000000E+000,-3.8014036E-016, 9.1209832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8545512E-015, 5.3195796E-016, 5.5390618E-003
 2.3761378E-001, 0.0000000E+000, 0.0000000E+000,-3.6948222E-016, 9.1501238E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8545512E-015, 5.4553015E-016, 5.5673200E-003
 2.3885836E-001, 0.0000000E+000, 0.0000000E+000,-3.5527137E-016, 9.1209832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5682696E-016, 5.5955620E-003
 2.4010293E-001, 0.0000000E+000, 0.0000000E+000,-3.4106051E-016, 9.1209832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8545512E-015, 5.7103781E-016, 5.6237875E-003
 2.4134752E-001, 0.0000000E+000, 0.0000000E+000,-3.6948222E-016, 9.0918427E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3970205E-016, 5.6519966E-003
 2.4259210E-001, 0.0000000E+000, 0.0000000E+000,-3.7303494E-016, 9.0918427E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3614933E-016, 5.6801892E-003
 2.4383667E-001, 0.0000000E+000, 0.0000000E+000,-3.6592951E-016, 9.1209832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4616881E-016, 5.7083651E-003
 2.4508125E-001, 0.0000000E+000, 0.0000000E+000,-3.5171865E-016, 9.1209832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8545512E-015, 5.6037967E-016, 5.7365244E-003
