s,Pa,m/s,
Time,"pres","error","iter"
 3.8430929E-001, 5.1655163E-002, 3.6207962E-005, 1.0000000E+000
 3.8674451E-001, 5.1578165E-002, 3.6669637E-005, 1.0000000E+000
 3.8836800E-001, 5.1500932E-002, 3.6664965E-005, 1.0000000E+000
 3.9080322E-001, 5.1423433E-002, 3.6617436E-005, 1.0000000E+000
 3.9242671E-001, 5.1345702E-002, 3.6762922E-005, 1.0000000E+000
 3.9405019E-001, 5.1283334E-002, 3.6914586E-005, 1.0000000E+000
 3.9648542E-001, 5.1205146E-002, 3.7019837E-005, 1.0000000E+000
 3.9810890E-001, 5.1126732E-002, 3.7085327E-005, 1.0000000E+000
 4.0054412E-001, 5.1048062E-002, 3.7177782E-005, 1.0000000E+000
 4.0216761E-001, 5.0969170E-002, 3.7287695E-005, 1.0000000E+000
 4.0460283E-001, 5.0890026E-002, 3.7389783E-005, 1.0000000E+000
 4.0622632E-001, 5.0810664E-002, 3.7486764E-005, 1.0000000E+000
 4.0866154E-001, 5.0731054E-002, 3.7589278E-005, 1.0000000E+000
 4.1028503E-001, 5.0651230E-002, 3.7695509E-005, 1.0000000E+000
 4.1272025E-001, 5.0571162E-002, 3.7799361E-005, 1.0000000E+000
 4.1434374E-001, 5.0490884E-002, 3.7899810E-005, 1.0000000E+000
 4.1677896E-001, 5.0410368E-002, 3.7998303E-005, 1.0000000E+000
 4.1840244E-001, 5.0329644E-002, 3.8095879E-005, 1.0000000E+000
 4.2002593E-001, 5.0264901E-002, 3.8173185E-005, 1.0000000E+000
 4.2237939E-001, 5.0186680E-002, 3.4973779E-005, 1.0000000E+000
 4.2456933E-001, 5.0098460E-002, 2.9522802E-005, 1.0000000E+000
 4.2602929E-001, 5.0025126E-002, 3.1447228E-005, 1.0000000E+000
 4.2821924E-001, 4.9951610E-002, 3.2565256E-005, 1.0000000E+000
 4.3040918E-001, 4.9863172E-002, 3.1435647E-005, 1.0000000E+000
 4.3259912E-001, 4.9774491E-002, 3.0963673E-005, 1.0000000E+000
 4.3405908E-001, 4.9700413E-002, 3.1464790E-005, 1.0000000E+000
 4.3624902E-001, 4.9626158E-002, 3.1651105E-005, 1.0000000E+000
 4.3843896E-001, 4.9536844E-002, 3.1532721E-005, 1.0000000E+000
 4.4062890E-001, 4.9447298E-002, 3.1594720E-005, 1.0000000E+000
 4.4208886E-001, 4.9372505E-002, 3.1733018E-005, 1.0000000E+000
 4.4427881E-001, 4.9297543E-002, 3.1796653E-005, 1.0000000E+000
 4.4646875E-001, 4.9207388E-002, 3.1908058E-005, 1.0000000E+000
 4.4865869E-001, 4.9117009E-002, 3.3118218E-005, 1.0000000E+000
